NAME                 INSTALLED  FIXED IN                       TYPE       VULNERABILITY        SEVERITY  EPSS           RISK   
stdlib               go1.22.4   1.21.12, *1.22.5               go-module  CVE-2024-24791       High      0.6% (69th)    0.5    
stdlib               go1.22.4   *1.22.7, 1.23.1                go-module  CVE-2024-34156       High      0.2% (39th)    0.1    
stdlib               go1.22.4   *1.22.7, 1.23.1                go-module  CVE-2024-34158       High      < 0.1% (24th)  < 0.1  
golang.org/x/oauth2  v0.10.0    0.27.0                         go-module  GHSA-6v2p-p543-phr9  High      < 0.1% (23rd)  < 0.1  
stdlib               go1.22.4   *1.22.7, 1.23.1                go-module  CVE-2024-34155       Medium    0.1% (30th)    < 0.1  
stdlib               go1.22.4   *1.23.12, 1.24.6               go-module  CVE-2025-47907       High      < 0.1% (18th)  < 0.1  
stdlib               go1.22.4   *1.22.11, 1.23.5, 1.24.0-rc.2  go-module  CVE-2024-45336       Medium    < 0.1% (11th)  < 0.1  
stdlib               go1.22.4   *1.22.11, 1.23.5, 1.24.0-rc.2  go-module  CVE-2024-45341       Medium    < 0.1% (7th)   < 0.1  
stdlib               go1.22.4   *1.23.8, 1.24.2                go-module  CVE-2025-22871       Critical  < 0.1% (1st)   < 0.1  
stdlib               go1.22.4   *1.23.10, 1.24.4               go-module  CVE-2025-4673        Medium    < 0.1% (3rd)   < 0.1  
golang.org/x/net     v0.23.0    0.38.0                         go-module  GHSA-vvgc-356p-c3xw  Medium    < 0.1% (3rd)   < 0.1  
golang.org/x/net     v0.23.0    0.36.0                         go-module  GHSA-qxp5-gwg8-xv66  Medium    < 0.1% (2nd)   < 0.1  
stdlib               go1.22.4   *1.22.12, 1.23.6, 1.24.0-rc.3  go-module  CVE-2025-22866       Medium    < 0.1% (1st)   < 0.1  
stdlib               go1.22.4   *1.23.11, 1.24.5               go-module  CVE-2025-4674        High      < 0.1% (0th)   < 0.1
