NAME          INSTALLED              FIXED IN                    TYPE       VULNERABILITY        SEVERITY  EPSS           RISK   
gnutls        3.8.3-6.el9            10:3.8.3-4.el9_4_fips       rpm        ELSA-2024-12364      Medium    1.7% (81st)    0.9    
gnutls        3.8.3-6.el9            10:3.7.6-23.el9_3.4_fips    rpm        ELSA-2024-12336      Medium    1.1% (76th)    0.5    
openssl       1:3.2.2-6.0.1.el9_5.1  10:3.0.7-28.0.1.el9_4_fips  rpm        ELSA-2024-12675      Medium    0.7% (70th)    0.3    
openssl-libs  1:3.2.2-6.0.1.el9_5.1  10:3.0.7-28.0.1.el9_4_fips  rpm        ELSA-2024-12675      Medium    0.7% (70th)    0.3    
setuptools    73.0.1                 78.1.1                      python     GHSA-5rjg-fvgr-3xxf  High      0.1% (34th)    0.1    
stdlib        go1.24.0               1.23.12, *1.24.6            go-module  CVE-2025-47907       High      < 0.1% (18th)  < 0.1  
stdlib        go1.24.0               1.23.8, *1.24.2             go-module  CVE-2025-22871       Critical  < 0.1% (1st)   < 0.1  
stdlib        go1.24.0               1.23.10, *1.24.4            go-module  CVE-2025-4673        Medium    < 0.1% (3rd)   < 0.1  
stdlib        go1.24.0               1.24.4                      go-module  CVE-2025-22874       High      < 0.1% (1st)   < 0.1  
stdlib        go1.24.0               1.23.11, *1.24.5            go-module  CVE-2025-4674        High      < 0.1% (0th)   < 0.1
