NAME           INSTALLED             FIXED IN              TYPE  VULNERABILITY   SEVERITY  EPSS           RISK   
nghttp2-libs   1.58.0-r0                                   apk   CVE-2024-28182  Medium    22.1% (95th)   11.4   
libcrypto3     3.1.4-r6              3.1.6-r0              apk   CVE-2024-5535   Critical  7.8% (91st)    7.1    
libssl3        3.1.4-r6              3.1.6-r0              apk   CVE-2024-5535   Critical  7.8% (91st)    7.1    
curl           8.5.0-r0              8.12.0-r0             apk   CVE-2025-0665   Critical  4.6% (88th)    4.3    
libcurl        8.5.0-r0              8.12.0-r0             apk   CVE-2025-0665   Critical  4.6% (88th)    4.3    
curl           8.5.0-r0              8.9.1-r0              apk   CVE-2024-7264   Medium    7.1% (91st)    4.1    
libcurl        8.5.0-r0              8.9.1-r0              apk   CVE-2024-7264   Medium    7.1% (91st)    4.1    
curl           8.5.0-r0              8.7.1-r0              apk   CVE-2024-2398   High      2.0% (82nd)    1.6    
libcurl        8.5.0-r0              8.7.1-r0              apk   CVE-2024-2398   High      2.0% (82nd)    1.6    
curl           8.5.0-r0              8.9.0-r0              apk   CVE-2024-6197   High      1.3% (78th)    1.0    
libcurl        8.5.0-r0              8.9.0-r0              apk   CVE-2024-6197   High      1.3% (78th)    1.0    
tiff           4.6.0-r0                                    apk   CVE-2024-7006   High      0.9% (74th)    0.7    
libcrypto3     3.1.4-r6              3.1.7-r0              apk   CVE-2024-6119   High      0.7% (70th)    0.5    
libssl3        3.1.4-r6              3.1.7-r0              apk   CVE-2024-6119   High      0.7% (70th)    0.5    
curl           8.5.0-r0              8.9.0-r0              apk   CVE-2024-6874   Medium    1.0% (76th)    0.5    
libcurl        8.5.0-r0              8.9.0-r0              apk   CVE-2024-6874   Medium    1.0% (76th)    0.5    
libexpat       2.6.2-r0              2.7.0-r0              apk   CVE-2024-8176   High      0.5% (65th)    0.4    
curl           8.5.0-r0              8.11.0-r0             apk   CVE-2024-9681   Medium    0.6% (67th)    0.3    
libcurl        8.5.0-r0              8.11.0-r0             apk   CVE-2024-9681   Medium    0.6% (67th)    0.3    
libcrypto3     3.1.4-r6              3.1.7-r1              apk   CVE-2024-9143   Medium    0.7% (69th)    0.3    
libssl3        3.1.4-r6              3.1.7-r1              apk   CVE-2024-9143   Medium    0.7% (69th)    0.3    
curl           8.5.0-r0              8.7.1-r0              apk   CVE-2024-2004   Low       0.9% (74th)    0.3    
libcurl        8.5.0-r0              8.7.1-r0              apk   CVE-2024-2004   Low       0.9% (74th)    0.3    
curl           8.5.0-r0              8.12.0-r0             apk   CVE-2025-0725   High      0.4% (58th)    0.3    
libcurl        8.5.0-r0              8.12.0-r0             apk   CVE-2025-0725   High      0.4% (58th)    0.3    
tiff           4.6.0-r0                                    apk   CVE-2023-6277   Medium    0.4% (60th)    0.2    
libexpat       2.6.2-r0              2.6.3-r0              apk   CVE-2024-45492  Critical  0.2% (45th)    0.2    
tiff           4.6.0-r0                                    apk   CVE-2023-52356  High      0.3% (49th)    0.2    
curl           8.5.0-r0              8.10.0-r0             apk   CVE-2024-8096   Medium    0.2% (42nd)    0.1    
libcurl        8.5.0-r0              8.10.0-r0             apk   CVE-2024-8096   Medium    0.2% (42nd)    0.1    
curl           8.5.0-r0              8.7.1-r0              apk   CVE-2024-2379   Medium    0.2% (42nd)    0.1    
libcurl        8.5.0-r0              8.7.1-r0              apk   CVE-2024-2379   Medium    0.2% (42nd)    0.1    
curl           8.5.0-r0              8.11.1-r0             apk   CVE-2024-11053  Low       0.4% (57th)    0.1    
libcurl        8.5.0-r0              8.11.1-r0             apk   CVE-2024-11053  Low       0.4% (57th)    0.1    
libxml2        2.11.7-r0             2.11.8-r0             apk   CVE-2024-34459  High      0.2% (36th)    0.1    
libexpat       2.6.2-r0              2.6.3-r0              apk   CVE-2024-45491  Critical  0.1% (29th)    0.1    
libcrypto3     3.1.4-r6              3.1.6-r0              apk   CVE-2024-4741   High      0.1% (33rd)    < 0.1  
libssl3        3.1.4-r6              3.1.6-r0              apk   CVE-2024-4741   High      0.1% (33rd)    < 0.1  
xz-libs        5.4.5-r0              5.4.5-r1              apk   CVE-2025-31115  High      0.1% (30th)    < 0.1  
curl           8.5.0-r0              8.7.1-r0              apk   CVE-2024-2466   Medium    0.1% (36th)    < 0.1  
libcurl        8.5.0-r0              8.7.1-r0              apk   CVE-2024-2466   Medium    0.1% (36th)    < 0.1  
curl           8.5.0-r0              8.6.0-r0              apk   CVE-2024-0853   Medium    0.2% (36th)    < 0.1  
libcurl        8.5.0-r0              8.6.0-r0              apk   CVE-2024-0853   Medium    0.2% (36th)    < 0.1  
libexpat       2.6.2-r0              2.6.3-r0              apk   CVE-2024-45490  High      < 0.1% (21st)  < 0.1  
libxml2        2.11.7-r0             2.11.8-r2             apk   CVE-2025-27113  High      < 0.1% (17th)  < 0.1  
libexpat       2.6.2-r0              2.6.4-r0              apk   CVE-2024-50602  Medium    < 0.1% (21st)  < 0.1  
libcrypto3     3.1.4-r6              3.1.8-r0              apk   CVE-2024-13176  Medium    < 0.1% (24th)  < 0.1  
libssl3        3.1.4-r6              3.1.8-r0              apk   CVE-2024-13176  Medium    < 0.1% (24th)  < 0.1  
libcrypto3     3.1.4-r6              3.1.5-r0              apk   CVE-2024-4603   Medium    < 0.1% (21st)  < 0.1  
libssl3        3.1.4-r6              3.1.5-r0              apk   CVE-2024-4603   Medium    < 0.1% (21st)  < 0.1  
libxml2        2.11.7-r0             2.11.8-r3             apk   CVE-2025-32415  High      < 0.1% (11th)  < 0.1  
libxml2        2.11.7-r0             2.11.8-r3             apk   CVE-2025-32414  High      < 0.1% (7th)   < 0.1  
curl           8.5.0-r0              8.12.0-r0             apk   CVE-2025-0167   Low       < 0.1% (21st)  < 0.1  
libcurl        8.5.0-r0              8.12.0-r0             apk   CVE-2025-0167   Low       < 0.1% (21st)  < 0.1  
busybox        1.36.1-r15            1.36.1-r19            apk   CVE-2023-42364  Medium    < 0.1% (7th)   < 0.1  
busybox        1.36.1-r15            1.36.1-r19            apk   CVE-2023-42365  Medium    < 0.1% (7th)   < 0.1  
busybox-binsh  1.36.1-r15            1.36.1-r19            apk   CVE-2023-42364  Medium    < 0.1% (7th)   < 0.1  
busybox-binsh  1.36.1-r15            1.36.1-r19            apk   CVE-2023-42365  Medium    < 0.1% (7th)   < 0.1  
ssl_client     1.36.1-r15            1.36.1-r19            apk   CVE-2023-42364  Medium    < 0.1% (7th)   < 0.1  
ssl_client     1.36.1-r15            1.36.1-r19            apk   CVE-2023-42365  Medium    < 0.1% (7th)   < 0.1  
busybox        1.36.1-r15            1.36.1-r17            apk   CVE-2023-42363  Medium    < 0.1% (5th)   < 0.1  
busybox-binsh  1.36.1-r15            1.36.1-r17            apk   CVE-2023-42363  Medium    < 0.1% (5th)   < 0.1  
ssl_client     1.36.1-r15            1.36.1-r17            apk   CVE-2023-42363  Medium    < 0.1% (5th)   < 0.1  
busybox        1.36.1-r15            1.36.1-r16            apk   CVE-2023-42366  Medium    < 0.1% (5th)   < 0.1  
busybox-binsh  1.36.1-r15            1.36.1-r16            apk   CVE-2023-42366  Medium    < 0.1% (5th)   < 0.1  
ssl_client     1.36.1-r15            1.36.1-r16            apk   CVE-2023-42366  Medium    < 0.1% (5th)   < 0.1  
curl           8.5.0-r0                                    apk   CVE-2025-5025   Medium    < 0.1% (3rd)   < 0.1  
musl           1.2.4_git20230717-r4  1.2.4_git20230717-r5  apk   CVE-2025-26519  High      < 0.1% (1st)   < 0.1  
musl-utils     1.2.4_git20230717-r4  1.2.4_git20230717-r5  apk   CVE-2025-26519  High      < 0.1% (1st)   < 0.1  
libxslt        1.1.39-r0             1.1.39-r1             apk   CVE-2025-24855  High      < 0.1% (0th)   < 0.1  
tiff           4.6.0-r0                                    apk   CVE-2023-6228   Medium    < 0.1% (2nd)   < 0.1  
