NAME                            INSTALLED                           FIXED IN                           TYPE       VULNERABILITY        SEVERITY  EPSS           RISK          
stdlib                          go1.14.12                           *1.20.10, 1.21.3                   go-module  CVE-2023-44487       High      94.4% (99th)   78.8   (kev)  
golang.org/x/net                v0.0.0-20201021035429-f5854403a974  0.17.0                             go-module  GHSA-qppj-fm5r-hxr3  Medium    94.4% (99th)   54.1   (kev)  
stdlib                          go1.14.12                           *1.21.9, 1.22.2                    go-module  CVE-2023-45288       High      66.6% (98th)   50.0          
golang.org/x/crypto             v0.0.0-20200622213623-75b288015ac9  0.31.0                             go-module  GHSA-v778-237x-gjrc  Critical  46.2% (97th)   41.8          
golang.org/x/crypto             v0.0.0-20200622213623-75b288015ac9  0.0.0-20231218163308-9d2ee975ef9f  go-module  GHSA-45x7-px36-x8w8  Medium    69.8% (98th)   38.1          
k8s.io/apimachinery             v0.18.4                             0.18.7                             go-module  GHSA-33c5-9fx5-fvjm  Medium    60.1% (98th)   35.5          
golang.org/x/net                v0.0.0-20201021035429-f5854403a974  0.23.0                             go-module  GHSA-4v7x-pqxf-cx7m  Medium    66.6% (98th)   34.3          
github.com/minio/minio          v0.0.0-20200114012931-30922148fbb5  0.0.0-20240131185645-0ae4915a9391  go-module  GHSA-xx8w-mq23-29g4  High      24.9% (95th)   20.3          
stdlib                          go1.14.12                           *1.16.9, 1.17.2                    go-module  CVE-2021-38297       Critical  5.9% (90th)    5.2           
github.com/minio/minio          v0.0.0-20200114012931-30922148fbb5  0.0.0-20250403145552-8c70975283f9  go-module  GHSA-wg47-6jq2-q2hh  High      2.8% (85th)    2.1           
stdlib                          go1.14.12                           *1.21.8, 1.22.1                    go-module  CVE-2024-24784       High      1.5% (80th)    1.1           
gopkg.in/yaml.v3                v3.0.0-20200121175148-a6ecf24a6d71  3.0.1                              go-module  GHSA-hp87-p4gw-j4gq  High      1.5% (80th)    1.1           
stdlib                          go1.14.12                           *1.21.10, 1.22.3                   go-module  CVE-2024-24787       Medium    1.6% (80th)    0.9           
github.com/emicklei/go-restful  v2.9.5+incompatible                 2.16.0                             go-module  GHSA-r48q-9g5r-8q2h  Critical  0.9% (75th)    0.8           
stdlib                          go1.14.12                           *1.15.14, 1.16.6                   go-module  CVE-2021-34558       Medium    1.5% (80th)    0.7           
stdlib                          go1.14.12                           *1.19.8, 1.20.3                    go-module  CVE-2023-24538       Critical  0.6% (69th)    0.6           
stdlib                          go1.14.12                           *1.21.12, 1.22.5                   go-module  CVE-2024-24791       High      0.6% (69th)    0.5           
stdlib                          go1.14.12                           1.21.0-0                           go-module  CVE-2023-24531       Critical  0.4% (56th)    0.3           
