NAME                              INSTALLED             FIXED IN  TYPE       VULNERABILITY        SEVERITY  EPSS           RISK   
golang.org/x/crypto               v0.25.0               0.31.0    go-module  GHSA-v778-237x-gjrc  Critical  46.2% (97th)   41.8   
github.com/docker/docker          v26.1.3+incompatible  26.1.5    go-module  GHSA-v23v-6jw2-98fq  Critical  2.0% (83rd)    1.9    
github.com/go-git/go-git/v5       v5.12.0               5.13.0    go-module  GHSA-v725-9546-7q7m  Critical  0.3% (49th)    0.2    
golang.org/x/crypto               v0.25.0               0.35.0    go-module  GHSA-hcg3-q754-cr77  High      0.2% (40th)    0.1    
github.com/go-git/go-git/v5       v5.12.0               5.13.0    go-module  GHSA-r9px-m959-cxf4  High      0.1% (33rd)    < 0.1  
golang.org/x/oauth2               v0.21.0               0.27.0    go-module  GHSA-6v2p-p543-phr9  High      < 0.1% (23rd)  < 0.1  
github.com/go-jose/go-jose/v3     v3.0.3                3.0.4     go-module  GHSA-c6gw-w398-hv78  Medium    < 0.1% (27th)  < 0.1  
github.com/go-jose/go-jose/v4     v4.0.1                4.0.5     go-module  GHSA-c6gw-w398-hv78  Medium    < 0.1% (27th)  < 0.1  
github.com/open-policy-agent/opa  v0.61.0               1.4.0     go-module  GHSA-6m8w-jc87-6cr7  High      < 0.1% (12th)  < 0.1  
github.com/golang-jwt/jwt/v4      v4.5.0                4.5.2     go-module  GHSA-mh63-6h87-95cp  High      < 0.1% (12th)  < 0.1  
github.com/golang-jwt/jwt/v5      v5.2.1                5.2.2     go-module  GHSA-mh63-6h87-95cp  High      < 0.1% (12th)  < 0.1  
github.com/open-policy-agent/opa  v0.61.0               0.68.0    go-module  GHSA-c77r-fh37-x2px  Medium    < 0.1% (13th)  < 0.1  
github.com/golang/glog            v1.2.1                1.2.4     go-module  GHSA-6wxm-mpqj-6jpf  Medium    < 0.1% (11th)  < 0.1  
golang.org/x/net                  v0.26.0               0.38.0    go-module  GHSA-vvgc-356p-c3xw  Medium    < 0.1% (3rd)   < 0.1  
github.com/golang-jwt/jwt/v4      v4.5.0                4.5.1     go-module  GHSA-29wx-vh33-7x7r  Low       < 0.1% (5th)   < 0.1  
github.com/cloudflare/circl       v1.3.8                1.6.1     go-module  GHSA-2x5j-vhc8-9cwm  Low       < 0.1% (4th)   < 0.1  
golang.org/x/net                  v0.26.0               0.36.0    go-module  GHSA-qxp5-gwg8-xv66  Medium    < 0.1% (2nd)   < 0.1  
github.com/docker/docker          v26.1.3+incompatible  28.0.0    go-module  GHSA-4vq8-7jfc-9cvp  Low       < 0.1% (1st)   < 0.1
