NAME                    VERSION      TYPE  
alpine-baselayout       3.4.3-r1     apk   
alpine-baselayout-data  3.4.3-r1     apk   
alpine-keys             2.4-r1       apk   
apk-tools               2.14.4-r0    apk   
busybox                 1.36.1-r7    apk   
busybox-binsh           1.36.1-r7    apk   
ca-certificates-bundle  20241121-r1  apk   
libc-utils              0.7.2-r5     apk   
libcrypto3              3.1.8-r0     apk   
libssl3                 3.1.8-r0     apk   
musl                    1.2.4-r3     apk   
musl-utils              1.2.4-r3     apk   
scanelf                 1.3.7-r1     apk   
ssl_client              1.36.1-r7    apk   
zlib                    1.2.13-r1    apk
