NAME                    VERSION      TYPE  
alpine-baselayout       3.7.0-r0     apk   
alpine-baselayout-data  3.7.0-r0     apk   
alpine-keys             2.5-r0       apk   
alpine-release          3.22.1-r0    apk   
apk-tools               2.14.9-r2    apk   
brotli-libs             1.1.0-r2     apk   
busybox                 1.37.0-r18   apk   
busybox-binsh           1.37.0-r18   apk   
c-ares                  1.34.5-r0    apk   
ca-certificates-bundle  20250619-r0  apk   
curl                    8.14.1-r1    apk   
libapk2                 2.14.9-r2    apk   
libcrypto3              3.5.1-r0     apk   
libcurl                 8.14.1-r1    apk   
libidn2                 2.3.7-r0     apk   
libpsl                  0.21.5-r3    apk   
libssl3                 3.5.1-r0     apk   
libunistring            1.3-r0       apk   
musl                    1.2.5-r10    apk   
musl-utils              1.2.5-r10    apk   
nghttp2-libs            1.65.0-r0    apk   
scanelf                 1.3.8-r1     apk   
ssl_client              1.37.0-r18   apk   
zlib                    1.3.1-r2     apk   
zstd-libs               1.5.7-r0     apk
