NAME                            VERSION                        TYPE                       
alternatives                    1.24-2.0.1.el9                 rpm                        
antlr4-python3-runtime          4.13.1                         python                     
audit-libs                      3.1.5-4.0.1.el9                rpm                        
autocommand                     2.2.2                          python                     
backports-tarfile               1.2.0                          python                     
basesystem                      11-13.el9                      rpm                        
bash                            5.1.8-9.el9                    rpm                        
bcrypt                          4.1.3                          python                     
bzip2                           1.0.8-10.el9_5                 rpm                        
bzip2-libs                      1.0.8-10.el9_5                 rpm                        
ca-certificates                 2024.2.69_v8.0.303-91.4.el9_4  rpm                        
certifi                         2025.4.26                      python                     
cffi                            1.17.1                         python                     
circuitbreaker                  2.1.3                          python                     
coreutils-single                8.32-39.0.1.el9                rpm                        
crypto-policies                 20250128-1.git5269e22.el9      rpm                        
cryptography                    44.0.3                         python                     
curl                            7.76.1-31.el9_6.1              rpm                        
cyrus-sasl-lib                  2.1.27-21.el9                  rpm                        
dnf-data                        4.14.0-25.0.1.el9              rpm                        
file-libs                       5.39-16.el9                    rpm                        
filesystem                      3.16-5.el9                     rpm                        
findutils                       1:4.8.0-7.el9                  rpm                        
gawk                            5.1.0-6.el9                    rpm                        
gdbm-libs                       1:1.23-1.el9                   rpm                        
github.com/moby/sys/user        v0.1.0                         go-module                  
github.com/tianon/gosu          v1.18.0                        go-module                  
glib2                           2.68.4-16.el9_6.2              rpm                        
glibc                           2.34-168.0.1.el9_6.23          rpm                        
glibc-common                    2.34-168.0.1.el9_6.23          rpm                        
glibc-minimal-langpack          2.34-168.0.1.el9_6.23          rpm                        
gmp                             1:6.2.0-13.el9                 rpm                        
gnupg2                          2.3.3-4.el9                    rpm                        
gnutls                          3.8.3-6.el9                    rpm                        
gobject-introspection           1.68.0-11.el9                  rpm                        
golang.org/x/sys                v0.1.0                         go-module                  
gpg-pubkey                      8b4efbe6-629ec292              rpm                        
gpg-pubkey                      8d8b756f-629e59ec              rpm                        
gpgme                           1.15.1-6.el9                   rpm                        
grep                            3.6-5.el9                      rpm                        
gzip                            1.12-1.el9                     rpm                        
importlib-metadata              8.0.0                          python                     
importlib-resources             6.4.0                          python                     
inflect                         7.3.1                          python                     
jaraco-context                  5.3.0                          python                     
jaraco-functools                4.0.1                          python                     
jaraco-text                     3.12.1                         python                     
json-c                          0.14-11.el9                    rpm                        
keyutils-libs                   1.6.3-1.el9                    rpm                        
krb5-libs                       1.21.1-8.0.1.el9_6             rpm                        
libacl                          2.3.1-4.el9                    rpm                        
libaio                          0.3.111-13.el9                 rpm                        
libarchive                      3.5.3-6.el9_6                  rpm                        
libassuan                       2.5.5-3.el9                    rpm                        
libattr                         2.5.1-3.el9                    rpm                        
libblkid                        2.37.4-21.0.1.el9              rpm                        
libbrotli                       1.0.9-7.el9_5                  rpm                        
libcap                          2.48-9.el9_2                   rpm                        
libcap-ng                       0.8.2-7.el9                    rpm                        
libcom_err                      1.46.5-7.el9                   rpm                        
libcurl                         7.76.1-31.el9_6.1              rpm                        
libdnf                          0.69.0-13.0.1.el9              rpm                        
libevent                        2.1.12-8.el9_4                 rpm                        
libffi                          3.4.2-8.el9                    rpm                        
libgcc                          11.5.0-5.0.1.el9_5             rpm                        
libgcrypt                       1.10.0-11.el9                  rpm                        
libgpg-error                    1.42-5.el9                     rpm                        
libidn2                         2.3.0-7.el9                    rpm                        
libksba                         1.5.1-7.el9                    rpm                        
libmodulemd                     2.13.0-2.el9                   rpm                        
libmount                        2.37.4-21.0.1.el9              rpm                        
libnghttp2                      1.43.0-6.el9                   rpm                        
libpeas                         1.30.0-4.el9                   rpm                        
libpsl                          0.21.1-5.el9                   rpm                        
librepo                         1.14.5-2.el9                   rpm                        
libreport-filesystem            2.15.2-6.0.3.el9               rpm                        
libselinux                      3.6-3.el9                      rpm                        
libsemanage                     3.6-5.el9_6                    rpm                        
libsepol                        3.6-2.el9                      rpm                        
libsigsegv                      2.13-4.el9                     rpm                        
libsmartcols                    2.37.4-21.0.1.el9              rpm                        
libsolv                         0.7.24-3.el9                   rpm                        
libssh                          0.10.4-13.el9                  rpm                        
libssh-config                   0.10.4-13.el9                  rpm                        
libstdc++                       11.5.0-5.0.1.el9_5             rpm                        
libtasn1                        4.16.0-9.el9                   rpm                        
libtirpc                        1.3.3-9.el9                    rpm                        
libtool-ltdl                    2.4.6-46.el9                   rpm                        
libunistring                    0.9.10-15.el9                  rpm                        
libuuid                         2.37.4-21.0.1.el9              rpm                        
libverto                        0.3.2-3.el9                    rpm                        
libxcrypt                       4.4.18-3.el9                   rpm                        
libxml2                         2.9.13-12.el9_6                rpm                        
libyaml                         0.2.5-7.el9                    rpm                        
libzstd                         1.5.5-1.el9                    rpm                        
lua-libs                        5.4.4-4.el9                    rpm                        
lz4-libs                        1.9.3-5.el9                    rpm                        
microdnf                        3.9.1-3.el9                    rpm                        
more-itertools                  10.3.0                         python                     
mpfr                            4.1.0-7.el9                    rpm                        
my-test-package                 1.0                            python                     
mysql-community-server-minimal  8.0.43-1.el9                   rpm                        
mysql-shell                     8.0.43-1.el9                   rpm                        
ncurses-base                    6.2-10.20210508.el9_6.2        rpm                        
ncurses-libs                    6.2-10.20210508.el9_6.2        rpm                        
nettle                          3.10.1-1.el9                   rpm                        
npth                            1.6-8.el9                      rpm                        
oci                             2.153.0                        python                     
openldap                        2.6.8-4.el9                    rpm                        
openssl                         1:3.2.2-6.0.1.el9_5.1          rpm                        
openssl-fips-provider           3.0.7-6.0.1.el9_5              rpm                        
openssl-fips-provider-so        3.0.7-6.0.1.el9_5              rpm                        
openssl-libs                    1:3.2.2-6.0.1.el9_5.1          rpm                        
oraclelinux-release             9:9.6-1.0.9.el9                rpm                        
oraclelinux-release-el9         1.0-24.el9                     rpm                        
p11-kit                         0.25.3-3.el9_5                 rpm                        
p11-kit-trust                   0.25.3-3.el9_5                 rpm                        
packaging                       24.1                           python                     
paramiko                        3.4.0                          python                     
pcre                            8.44-4.el9                     rpm                        
pcre2                           10.40-6.0.1.el9                rpm                        
pcre2-syntax                    10.40-6.0.1.el9                rpm                        
pip                             24.2                           python                     
platformdirs                    4.2.2                          python                     
popt                            1.18-8.el9                     rpm                        
publicsuffix-list-dafsa         20210518-3.el9                 rpm                        
pycparser                       2.22                           python                     
