NAME                       VERSION               TYPE  
alpine-baselayout          3.4.3-r2              apk   
alpine-baselayout-data     3.4.3-r2              apk   
alpine-keys                2.4-r1                apk   
aom-libs                   3.7.1-r0              apk   
apk-tools                  2.14.0-r5             apk   
brotli-libs                1.1.0-r1              apk   
busybox                    1.36.1-r15            apk   
busybox-binsh              1.36.1-r15            apk   
c-ares                     1.27.0-r0             apk   
ca-certificates            20240226-r0           apk   
ca-certificates-bundle     20230506-r0           apk   
curl                       8.5.0-r0              apk   
fontconfig                 2.14.2-r4             apk   
freetype                   2.13.2-r0             apk   
geoip                      1.6.12-r5             apk   
libavif                    1.0.3-r0              apk   
libbsd                     0.11.7-r3             apk   
libbz2                     1.0.8-r6              apk   
libc-utils                 0.7.2-r5              apk   
libcrypto3                 3.1.4-r6              apk   
libcurl                    8.5.0-r0              apk   
libdav1d                   1.3.0-r1              apk   
libedit                    20230828.3.1-r3       apk   
libexpat                   2.6.2-r0              apk   
libgcrypt                  1.10.3-r0             apk   
libgd                      2.3.3-r8              apk   
libgpg-error               1.47-r2               apk   
libice                     1.1.1-r5              apk   
libidn2                    2.3.4-r4              apk   
libintl                    0.22.3-r0             apk   
libjpeg-turbo              3.0.1-r0              apk   
libmd                      1.1.0-r0              apk   
libncursesw                6.4_p20231125-r0      apk   
libpng                     1.6.40-r0             apk   
libsharpyuv                1.3.2-r0              apk   
libsm                      1.2.4-r3              apk   
libssl3                    3.1.4-r6              apk   
libunistring               1.1-r2                apk   
libuuid                    2.39.3-r0             apk   
libwebp                    1.3.2-r0              apk   
libx11                     1.8.7-r0              apk   
libxau                     1.0.11-r3             apk   
libxcb                     1.16-r0               apk   
libxdmcp                   1.1.4-r3              apk   
libxext                    1.3.5-r3              apk   
libxml2                    2.11.7-r0             apk   
libxpm                     3.5.17-r0             apk   
libxslt                    1.1.39-r0             apk   
libxt                      1.3.0-r4              apk   
musl                       1.2.4_git20230717-r4  apk   
musl-utils                 1.2.4_git20230717-r4  apk   
ncurses-terminfo-base      6.4_p20231125-r0      apk   
nghttp2-libs               1.58.0-r0             apk   
nginx                      1.25.5-r1             apk   
nginx-module-geoip         1.25.5-r1             apk   
nginx-module-image-filter  1.25.5-r1             apk   
nginx-module-njs           1.25.5.0.8.4-r3       apk   
nginx-module-xslt          1.25.5-r1             apk   
pcre2                      10.42-r2              apk   
scanelf                    1.3.7-r2              apk   
ssl_client                 1.36.1-r15            apk   
tiff                       4.6.0-r0              apk   
tzdata                     2024a-r0              apk   
xz-libs                    5.4.5-r0              apk   
zlib                       1.3.1-r0              apk   
zstd-libs                  1.5.5-r8              apk
