NAME                                  VERSION                               TYPE       
github.com/PuerkitoBio/purell         v1.1.1                                go-module  
github.com/PuerkitoBio/urlesc         v0.0.0-20170810143723-de5bf2ad4578    go-module  
github.com/cenkalti/backoff           v2.2.1+incompatible                   go-module  
github.com/cornelk/hashmap            v1.0.1                                go-module  
github.com/davecgh/go-spew            v1.1.1                                go-module  
github.com/dchest/siphash             v1.1.0                                go-module  
github.com/emicklei/go-restful        v2.9.5+incompatible                   go-module  
github.com/evanphx/json-patch         v4.5.0+incompatible                   go-module  
github.com/ghodss/yaml                v1.0.1-0.20190212211648-25d852aebe32  go-module  
github.com/go-errors/errors           v1.0.1                                go-module  
github.com/go-logr/logr               v0.1.0                                go-module  
github.com/go-openapi/jsonpointer     v0.19.3                               go-module  
github.com/go-openapi/jsonreference   v0.19.3                               go-module  
github.com/go-openapi/spec            v0.19.5                               go-module  
github.com/go-openapi/swag            v0.19.5                               go-module  
github.com/gogo/protobuf              v1.3.1                                go-module  
github.com/golang/groupcache          v0.0.0-20200121045136-8c9f03a8e57e    go-module  
github.com/golang/protobuf            v1.3.2                                go-module  
github.com/google/btree               v1.0.0                                go-module  
github.com/google/go-cmp              v0.4.0                                go-module  
github.com/google/gofuzz              v1.1.0                                go-module  
github.com/googleapis/gnostic         v0.3.1                                go-module  
github.com/gregjones/httpcache        v0.0.0-20180305231024-9cad4c3443a7    go-module  
github.com/hashicorp/golang-lru       v0.5.4                                go-module  
github.com/imdario/mergo              v0.3.8                                go-module  
github.com/jmespath/go-jmespath       v0.0.0-20180206201540-c2b33e8439af    go-module  
github.com/json-iterator/go           v1.1.9                                go-module  
github.com/kyverno/kyverno            UNKNOWN                               go-module  
github.com/liggitt/tabwriter          v0.0.0-20181228230101-89fcab3d43de    go-module  
github.com/mailru/easyjson            v0.7.0                                go-module  
github.com/mattbaird/jsonpatch        v0.0.0-20171005235357-81af80346b1a    go-module  
github.com/minio/minio                v0.0.0-20200114012931-30922148fbb5    go-module  
github.com/modern-go/concurrent       v0.0.0-20180306012644-bacd9c7ef1dd    go-module  
github.com/modern-go/reflect2         v1.0.1                                go-module  
github.com/peterbourgon/diskv         v2.0.1+incompatible                   go-module  
github.com/pkg/errors                 v0.9.1                                go-module  
github.com/spf13/cobra                v1.0.0                                go-module  
github.com/spf13/pflag                v1.0.5                                go-module  
github.com/tevino/abool               v0.0.0-20170917061928-9b9efcf221b5    go-module  
github.com/xlab/treeprint             v0.0.0-20181112141820-a009c3971eca    go-module  
golang.org/x/crypto                   v0.0.0-20200622213623-75b288015ac9    go-module  
golang.org/x/net                      v0.0.0-20201021035429-f5854403a974    go-module  
golang.org/x/oauth2                   v0.0.0-20200107190931-bf48bf16ab8d    go-module  
golang.org/x/sys                      v0.0.0-20200930185726-fdedc70b468f    go-module  
golang.org/x/text                     v0.3.3                                go-module  
golang.org/x/time                     v0.0.0-20191024005414-555d28b269f0    go-module  
gopkg.in/inf.v0                       v0.9.1                                go-module  
gopkg.in/yaml.v2                      v2.3.0                                go-module  
gopkg.in/yaml.v3                      v3.0.0-20200121175148-a6ecf24a6d71    go-module  
k8s.io/api                            v0.18.4                               go-module  
k8s.io/apiextensions-apiserver        v0.18.4                               go-module  
k8s.io/apimachinery                   v0.18.4                               go-module  
k8s.io/cli-runtime                    v0.18.4                               go-module  
k8s.io/client-go                      v0.18.4                               go-module  
k8s.io/klog                           v1.0.0                                go-module  
k8s.io/kube-openapi                   v0.0.0-20200410145947-61e04a5be9a6    go-module  
k8s.io/utils                          v0.0.0-20200324210504-a9aa75ae1b89    go-module  
sigs.k8s.io/controller-runtime        v0.5.0                                go-module  
sigs.k8s.io/kustomize                 v2.0.3+incompatible                   go-module  
sigs.k8s.io/kustomize/api             v0.5.1                                go-module  
sigs.k8s.io/kustomize/kyaml           v0.6.1                                go-module  
sigs.k8s.io/structured-merge-diff/v3  v3.0.0                                go-module  
sigs.k8s.io/yaml                      v1.2.0                                go-module  
stdlib                                go1.14.12                             go-module
