NAME                                            VERSION                             TYPE       
github.com/Masterminds/semver                   v1.4.2                              go-module  
github.com/davecgh/go-spew                      v1.1.1                              go-module  
github.com/evanphx/json-patch                   v4.5.0+incompatible                 go-module  
github.com/gardener/controller-manager-library  v0.2.0                              go-module  
github.com/go-logr/logr                         v0.1.0                              go-module  
github.com/gogo/protobuf                        v1.3.1                              go-module  
github.com/golang/protobuf                      v1.3.2                              go-module  
github.com/google/go-cmp                        v0.4.0                              go-module  
github.com/google/gofuzz                        v1.1.0                              go-module  
github.com/googleapis/gnostic                   v0.3.1                              go-module  
github.com/hashicorp/golang-lru                 v0.5.4                              go-module  
github.com/imdario/mergo                        v0.3.8                              go-module  
github.com/json-iterator/go                     v1.1.9                              go-module  
github.com/kyverno/kyverno                      UNKNOWN                             go-module  
github.com/minio/minio                          v0.0.0-20200114012931-30922148fbb5  go-module  
github.com/modern-go/concurrent                 v0.0.0-20180306012644-bacd9c7ef1dd  go-module  
github.com/modern-go/reflect2                   v1.0.1                              go-module  
github.com/pkg/errors                           v0.9.1                              go-module  
github.com/sirupsen/logrus                      v1.6.0                              go-module  
github.com/spf13/pflag                          v1.0.5                              go-module  
golang.org/x/crypto                             v0.0.0-20200622213623-75b288015ac9  go-module  
golang.org/x/net                                v0.0.0-20201021035429-f5854403a974  go-module  
golang.org/x/oauth2                             v0.0.0-20200107190931-bf48bf16ab8d  go-module  
golang.org/x/sys                                v0.0.0-20200930185726-fdedc70b468f  go-module  
golang.org/x/text                               v0.3.3                              go-module  
golang.org/x/time                               v0.0.0-20191024005414-555d28b269f0  go-module  
gopkg.in/inf.v0                                 v0.9.1                              go-module  
gopkg.in/yaml.v2                                v2.3.0                              go-module  
k8s.io/api                                      v0.18.4                             go-module  
k8s.io/apiextensions-apiserver                  v0.18.4                             go-module  
k8s.io/apimachinery                             v0.18.4                             go-module  
k8s.io/client-go                                v0.18.4                             go-module  
k8s.io/klog                                     v1.0.0                              go-module  
k8s.io/kube-openapi                             v0.0.0-20200410145947-61e04a5be9a6  go-module  
k8s.io/utils                                    v0.0.0-20200324210504-a9aa75ae1b89  go-module  
sigs.k8s.io/controller-runtime                  v0.5.0                              go-module  
sigs.k8s.io/structured-merge-diff/v3            v3.0.0                              go-module  
sigs.k8s.io/yaml                                v1.2.0                              go-module  
stdlib                                          go1.14.12                           go-module
