NAME                                    VERSION                               TYPE       
alpine-baselayout                       3.6.5-r0                              apk        
alpine-baselayout-data                  3.6.5-r0                              apk        
alpine-keys                             2.4-r1                                apk        
apk-tools                               2.14.4-r0                             apk        
bash                                    5.2.26-r0                             apk        
busybox                                 1.36.1-r29                            apk        
busybox-binsh                           1.36.1-r29                            apk        
ca-certificates-bundle                  20240705-r0                           apk        
github.com/MakeNowJust/heredoc          v1.0.0                                go-module  
github.com/beorn7/perks                 v1.0.1                                go-module  
github.com/blang/semver/v4              v4.0.0                                go-module  
github.com/cespare/xxhash/v2            v2.3.0                                go-module  
github.com/chai2010/gettext-go          v1.0.2                                go-module  
github.com/davecgh/go-spew              v1.1.2-0.20180830191138-d8f796af33cc  go-module  
github.com/daviddengcn/go-colortext     v1.0.0                                go-module  
github.com/distribution/reference       v0.5.0                                go-module  
github.com/emicklei/go-restful/v3       v3.11.0                               go-module  
github.com/exponent-io/jsonpath         v0.0.0-20151013193312-d6023ce2651d    go-module  
github.com/fatih/camelcase              v1.0.0                                go-module  
github.com/fxamacker/cbor/v2            v2.7.0                                go-module  
github.com/go-errors/errors             v1.4.2                                go-module  
github.com/go-logr/logr                 v1.4.2                                go-module  
github.com/go-openapi/jsonpointer       v0.19.6                               go-module  
github.com/go-openapi/jsonreference     v0.20.2                               go-module  
github.com/go-openapi/swag              v0.22.4                               go-module  
github.com/gogo/protobuf                v1.3.2                                go-module  
github.com/golang/protobuf              v1.5.4                                go-module  
github.com/google/btree                 v1.0.1                                go-module  
github.com/google/gnostic-models        v0.6.8                                go-module  
github.com/google/go-cmp                v0.6.0                                go-module  
github.com/google/gofuzz                v1.2.0                                go-module  
github.com/google/shlex                 v0.0.0-20191202100458-e7afc7fbc510    go-module  
github.com/google/uuid                  v1.6.0                                go-module  
github.com/gorilla/websocket            v1.5.0                                go-module  
github.com/gregjones/httpcache          v0.0.0-20180305231024-9cad4c3443a7    go-module  
github.com/imdario/mergo                v0.3.6                                go-module  
github.com/jonboulle/clockwork          v0.2.2                                go-module  
github.com/josharian/intern             v1.0.0                                go-module  
github.com/json-iterator/go             v1.1.12                               go-module  
github.com/liggitt/tabwriter            v0.0.0-20181228230101-89fcab3d43de    go-module  
github.com/lithammer/dedent             v1.1.0                                go-module  
github.com/mailru/easyjson              v0.7.7                                go-module  
github.com/mitchellh/go-wordwrap        v1.0.1                                go-module  
github.com/moby/spdystream              v0.4.0                                go-module  
github.com/moby/term                    v0.5.0                                go-module  
github.com/modern-go/concurrent         v0.0.0-20180306012644-bacd9c7ef1dd    go-module  
github.com/modern-go/reflect2           v1.0.2                                go-module  
github.com/monochromegane/go-gitignore  v0.0.0-20200626010858-205db1a8cc00    go-module  
github.com/munnerz/goautoneg            v0.0.0-20191010083416-a7dc8b61c822    go-module  
github.com/mxk/go-flowrate              v0.0.0-20140419014527-cca7078d478f    go-module  
github.com/opencontainers/go-digest     v1.0.0                                go-module  
github.com/peterbourgon/diskv           v2.0.1+incompatible                   go-module  
github.com/pkg/errors                   v0.9.1                                go-module  
github.com/prometheus/client_golang     v1.19.1                               go-module  
github.com/prometheus/client_model      v0.6.1                                go-module  
github.com/prometheus/common            v0.55.0                               go-module  
github.com/prometheus/procfs            v0.15.1                               go-module  
github.com/russross/blackfriday/v2      v2.1.0                                go-module  
github.com/spf13/cobra                  v1.8.1                                go-module  
github.com/spf13/pflag                  v1.0.5                                go-module  
github.com/x448/float16                 v0.8.4                                go-module  
github.com/xlab/treeprint               v1.2.0                                go-module  
go.starlark.net                         v0.0.0-20230525235612-a134d8f9ddca    go-module  
golang.org/x/net                        v0.26.0                               go-module  
golang.org/x/oauth2                     v0.21.0                               go-module  
golang.org/x/sync                       v0.7.0                                go-module  
golang.org/x/sys                        v0.21.0                               go-module  
golang.org/x/term                       v0.21.0                               go-module  
golang.org/x/text                       v0.16.0                               go-module  
golang.org/x/time                       v0.3.0                                go-module  
google.golang.org/protobuf              v1.34.2                               go-module  
gopkg.in/evanphx/json-patch.v4          v4.12.0                               go-module  
gopkg.in/inf.v0                         v0.9.1                                go-module  
gopkg.in/yaml.v2                        v2.4.0                                go-module  
gopkg.in/yaml.v3                        v3.0.1                                go-module  
k8s.io/api                              UNKNOWN                               go-module  
k8s.io/apimachinery                     UNKNOWN                               go-module  
k8s.io/cli-runtime                      UNKNOWN                               go-module  
k8s.io/client-go                        UNKNOWN                               go-module  
k8s.io/component-base                   UNKNOWN                               go-module  
k8s.io/component-helpers                UNKNOWN                               go-module  
k8s.io/klog/v2                          v2.130.1                              go-module  
k8s.io/kube-openapi                     v0.0.0-20240228011516-70dd3763d340    go-module  
k8s.io/kubectl                          UNKNOWN                               go-module  
k8s.io/kubernetes                       v0.0.0-20240911212207-948afe5ca072    go-module  
k8s.io/metrics                          UNKNOWN                               go-module  
k8s.io/utils                            v0.0.0-20240711033017-18e509b52bc8    go-module  
libcrypto3                              3.3.2-r0                              apk        
libncursesw                             6.4_p20240420-r1                      apk        
libssl3                                 3.3.2-r0                              apk        
musl                                    1.2.5-r0                              apk        
musl-utils                              1.2.5-r0                              apk        
ncurses-terminfo-base                   6.4_p20240420-r1                      apk        
readline                                8.2.10-r0                             apk        
scanelf                                 1.3.7-r2                              apk        
sigs.k8s.io/json                        v0.0.0-20221116044647-bc3834ca7abd    go-module  
sigs.k8s.io/kustomize/api               v0.17.2                               go-module  
sigs.k8s.io/kustomize/kustomize/v5      v5.4.2                                go-module  
sigs.k8s.io/kustomize/kyaml             v0.17.1                               go-module  
sigs.k8s.io/structured-merge-diff/v4    v4.4.1                                go-module  
sigs.k8s.io/yaml                        v1.4.0                                go-module  
ssl_client                              1.36.1-r29                            apk        
stdlib                                  go1.22.6                              go-module  
zlib                                    1.3.1-r1                              apk
