NAME                                                                                     VERSION                               TYPE       
ca-certificates-bundle                                                                   20241010-r2                           apk        
cloud.google.com/go/auth                                                                 v0.5.1                                go-module  
cloud.google.com/go/auth/oauth2adapt                                                     v0.2.2                                go-module  
cloud.google.com/go/compute/metadata                                                     v0.3.0                                go-module  
cloud.google.com/go/iam                                                                  v1.1.8                                go-module  
cloud.google.com/go/kms                                                                  v1.17.1                               go-module  
cloud.google.com/go/longrunning                                                          v0.5.7                                go-module  
cuelabs.dev/go/oci/ociregistry                                                           v0.0.0-20240412105620-eedc705cef15    go-module  
cuelang.org/go                                                                           v0.8.2                                go-module  
filippo.io/edwards25519                                                                  v1.1.0                                go-module  
github.com/AliyunContainerService/ack-ram-tool/pkg/credentials/alibabacloudsdkgo/helper  v0.2.0                                go-module  
github.com/Azure/azure-sdk-for-go                                                        v68.0.0+incompatible                  go-module  
github.com/Azure/azure-sdk-for-go/sdk/azcore                                             v1.11.1                               go-module  
github.com/Azure/azure-sdk-for-go/sdk/azidentity                                         v1.6.0                                go-module  
github.com/Azure/azure-sdk-for-go/sdk/internal                                           v1.8.0                                go-module  
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/azkeys                           v1.1.0                                go-module  
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/internal                         v1.0.1                                go-module  
github.com/Azure/go-autorest/autorest                                                    v0.11.29                              go-module  
github.com/Azure/go-autorest/autorest/adal                                               v0.9.24                               go-module  
github.com/Azure/go-autorest/autorest/azure/auth                                         v0.5.13                               go-module  
github.com/Azure/go-autorest/autorest/azure/cli                                          v0.4.6                                go-module  
github.com/Azure/go-autorest/autorest/date                                               v0.3.0                                go-module  
github.com/Azure/go-autorest/logger                                                      v0.2.1                                go-module  
github.com/Azure/go-autorest/tracing                                                     v0.6.0                                go-module  
github.com/Azure/go-ntlmssp                                                              v0.0.0-20221128193559-754e69321358    go-module  
github.com/AzureAD/microsoft-authentication-library-for-go                               v1.2.2                                go-module  
github.com/IGLOU-EU/go-wildcard                                                          v1.0.3                                go-module  
github.com/OneOfOne/xxhash                                                               v1.2.8                                go-module  
github.com/ProtonMail/go-crypto                                                          v1.0.0                                go-module  
github.com/agnivade/levenshtein                                                          v1.1.1                                go-module  
github.com/alibabacloud-go/alibabacloud-gateway-spi                                      v0.0.4                                go-module  
github.com/alibabacloud-go/cr-20160607                                                   v1.0.1                                go-module  
github.com/alibabacloud-go/cr-20181201                                                   v1.0.10                               go-module  
github.com/alibabacloud-go/darabonba-openapi                                             v0.2.1                                go-module  
github.com/alibabacloud-go/debug                                                         v1.0.0                                go-module  
github.com/alibabacloud-go/endpoint-util                                                 v1.1.1                                go-module  
github.com/alibabacloud-go/openapi-util                                                  v0.1.0                                go-module  
github.com/alibabacloud-go/tea                                                           v1.2.2                                go-module  
github.com/alibabacloud-go/tea-utils                                                     v1.4.5                                go-module  
github.com/alibabacloud-go/tea-xml                                                       v1.1.3                                go-module  
github.com/alitto/pond                                                                   v1.9.1                                go-module  
github.com/aliyun/credentials-go                                                         v1.3.4                                go-module  
github.com/antlr/antlr4/runtime/Go/antlr/v4                                              v4.0.0-20230305170008-8188dc5388df    go-module  
github.com/aptible/supercronic                                                           v0.2.29                               go-module  
github.com/aquilax/truncate                                                              v1.0.0                                go-module  
github.com/asaskevich/govalidator                                                        v0.0.0-20230301143203-a9d515a09cc2    go-module  
github.com/aws/aws-sdk-go-v2                                                             v1.27.1                               go-module  
github.com/aws/aws-sdk-go-v2/config                                                      v1.27.17                              go-module  
github.com/aws/aws-sdk-go-v2/credentials                                                 v1.17.17                              go-module  
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                            v1.16.4                               go-module  
github.com/aws/aws-sdk-go-v2/internal/configsources                                      v1.3.8                                go-module  
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2                                       v2.6.8                                go-module  
github.com/aws/aws-sdk-go-v2/internal/ini                                                v1.8.0                                go-module  
github.com/aws/aws-sdk-go-v2/service/ecr                                                 v1.28.4                               go-module  
github.com/aws/aws-sdk-go-v2/service/ecrpublic                                           v1.23.9                               go-module  
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding                            v1.11.2                               go-module  
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url                              v1.11.10                              go-module  
github.com/aws/aws-sdk-go-v2/service/kms                                                 v1.32.2                               go-module  
github.com/aws/aws-sdk-go-v2/service/sso                                                 v1.20.10                              go-module  
github.com/aws/aws-sdk-go-v2/service/ssooidc                                             v1.24.4                               go-module  
github.com/aws/aws-sdk-go-v2/service/sts                                                 v1.28.11                              go-module  
github.com/aws/smithy-go                                                                 v1.20.2                               go-module  
github.com/awslabs/amazon-ecr-credential-helper/ecr-login                                v0.0.0-20240525144225-0fe7eafab216    go-module  
github.com/beorn7/perks                                                                  v1.0.1                                go-module  
github.com/blang/semver                                                                  v3.5.1+incompatible                   go-module  
github.com/blang/semver/v4                                                               v4.0.0                                go-module  
github.com/buildkite/agent/v3                                                            v3.62.0                               go-module  
github.com/buildkite/go-pipeline                                                         v0.3.2                                go-module  
github.com/buildkite/interpolate                                                         v0.0.0-20200526001904-07f35b4ae251    go-module  
github.com/cenkalti/backoff                                                              v2.2.1+incompatible                   go-module  
github.com/cenkalti/backoff/v3                                                           v3.2.2                                go-module  
github.com/cenkalti/backoff/v4                                                           v4.3.0                                go-module  
github.com/cespare/xxhash/v2                                                             v2.3.0                                go-module  
github.com/chrismellard/docker-credential-acr-env                                        v0.0.0-20230304212654-82a0ddb27589    go-module  
github.com/clbanning/mxj/v2                                                              v2.7.0                                go-module  
github.com/cloudflare/circl                                                              v1.3.8                                go-module  
github.com/cockroachdb/apd/v3                                                            v3.2.1                                go-module  
github.com/common-nighthawk/go-figure                                                    v0.0.0-20210622060536-734e95fb86be    go-module  
github.com/containerd/stargz-snapshotter/estargz                                         v0.15.1                               go-module  
github.com/coreos/go-oidc/v3                                                             v3.10.0                               go-module  
github.com/cyberphone/json-canonicalization                                              v0.0.0-20231217050601-ba74d44ecf5f    go-module  
github.com/davecgh/go-spew                                                               v1.1.2-0.20180830191138-d8f796af33cc  go-module  
github.com/dgraph-io/ristretto                                                           v0.1.1                                go-module  
github.com/digitorus/pkcs7                                                               v0.0.0-20230818184609-3a137a874352    go-module  
github.com/digitorus/timestamp                                                           v0.0.0-20231217203849-220c5c2851b7    go-module  
github.com/dimchansky/utfbom                                                             v1.1.1                                go-module  
github.com/distribution/reference                                                        v0.6.0                                go-module  
github.com/djherbis/times                                                                v1.6.0                                go-module  
github.com/docker/cli                                                                    v26.1.3+incompatible                  go-module  
github.com/docker/distribution                                                           v2.8.3+incompatible                   go-module  
github.com/docker/docker                                                                 v26.1.3+incompatible                  go-module  
github.com/docker/docker-credential-helpers                                              v0.8.2                                go-module  
github.com/dustin/go-humanize                                                            v1.0.1                                go-module  
github.com/emicklei/go-restful/v3                                                        v3.12.1                               go-module  
github.com/emicklei/proto                                                                v1.13.2                               go-module  
github.com/evanphx/json-patch                                                            v5.9.0+incompatible                   go-module  
github.com/evanphx/json-patch/v5                                                         v5.9.0                                go-module  
github.com/felixge/httpsnoop                                                             v1.0.4                                go-module  
github.com/fluxcd/pkg/oci                                                                v0.38.1                               go-module  
github.com/fsnotify/fsnotify                                                             v1.7.0                                go-module  
github.com/fxamacker/cbor/v2                                                             v2.6.0                                go-module  
github.com/ghodss/yaml                                                                   v1.0.1-0.20190212211648-25d852aebe32  go-module  
github.com/go-asn1-ber/asn1-ber                                                          v1.5.5                                go-module  
github.com/go-chi/chi                                                                    v4.1.2+incompatible                   go-module  
github.com/go-errors/errors                                                              v1.5.1                                go-module  
github.com/go-ini/ini                                                                    v1.67.0                               go-module  
github.com/go-jose/go-jose/v3                                                            v3.0.3                                go-module  
github.com/go-jose/go-jose/v4                                                            v4.0.1                                go-module  
github.com/go-ldap/ldap/v3                                                               v3.4.8                                go-module  
github.com/go-logr/logr                                                                  v1.4.2                                go-module  
github.com/go-logr/stdr                                                                  v1.2.2                                go-module  
github.com/go-logr/zapr                                                                  v1.3.0                                go-module  
github.com/go-openapi/analysis                                                           v0.23.0                               go-module  
github.com/go-openapi/errors                                                             v0.22.0                               go-module  
github.com/go-openapi/jsonpointer                                                        v0.21.0                               go-module  
github.com/go-openapi/jsonreference                                                      v0.21.0                               go-module  
